阿弥陀佛,#genre#
佛陀1,http://js1.amtb.cn/liveedge/_definst_/livetv/chunklist.m3u8
佛陀2,https://js1.amtb.cn/liveedge/_definst_/livetv/playlist.m3u8
佛陀3,https://live.ciguang.tv/live/hdtv.m3u8?auth_key=5216465889-0-0-701a98b03302233fc07fa2ee9e85d39b
抖音小姐姐,#genre#
抖音姐姐热热,http://epg.112114.xyz/douyu/8901218
抖音姐姐热舞1,http://epg.112114.xyz/douyu/8759139
抖音姐姐舞舞2,http://epg.112114.xyz/douyu/7971641
🍎卫视频道,#genre#
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
重庆卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225692/index.m3u8
重庆卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225692/index.m3u8
天津卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225739/index.m3u8
吉林卫视,http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel20/index.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=63cf437e1591689484
贵州卫视,http://39.134.115.163:8080/TVOD/88888910/224/3221225728/index.m3u8
东南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8
江西卫视,http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel22/1300.m3u8
新疆卫视,http://livehyw5.chinamcache.com/hyw/zb01.m3u8?txSecret=58347f72aece2c25c685b8dc4da74652&txTime=95A66658
陕西卫视,http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel55/index.m3u8
西藏卫视,http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel66/index.m3u8
西藏藏语卫视,http://media.vtibet.com/masvod/HLSLive/7/zangyuTV_q1.m3u8
香港卫视,http://107.151.203.111:2209/135/hk.php?id=hkws
莲花卫视,http://107.151.203.111:2209/135/hk.php?id=amlh
澳亚卫视,http://107.151.203.111:2209/135/hk.php?id=aoya
星空卫视,http://107.151.203.111:2209/135/hk.php?id=xkwst
🍆地方频道,#genre#
东部频道,https://lglivepull.sznews.com/live/2646.m3u8?zguangd
凤凰中文HD,http://107.151.203.111:2209/135/hk.php?id=fhzw
凤凰资讯HD,http://107.151.203.111:2209/135/hk.php?id=fhzx
无线财经,http://107.151.203.111:2209/135/hk.php?id=tvbcjtyt
翡翠台,http://107.151.203.111:2209/135/hk.php?id=tvbfct
明珠台,http://107.151.203.111:2209/135/hk.php?id=tvbmzt
重庆新闻,http://iptv.cooltv.top/tv/cqtv.php?id=3
晋中综合,http://jzlive.jztvnews.com:90/live/jzzh.m3u8
晋中公共,http://jzlive.jztvnews.com:90/live/jzgg.m3u8
山西社会与法治,http://iptv.cooltv.top/tv/cutv.php?id=sxkj
黄河电视台,http://iptv.cooltv.top/tv/cutv.php?id=sxhh
山西经济与科技,http://iptv.cooltv.top/tv/cutv.php?id=sxjj
山西影视,http://iptv.cooltv.top/tv/cutv.php?id=sxys
山西文体生活,http://iptv.cooltv.top/tv/cutv.php?id=sxgg
上海教育台,http://iptv.cooltv.top/tv/setv.php
昆明教育台,https://pili-live-hls-kmjy.tianma3600.com/kmjy/kmjy.m3u8
